中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,,,"5851150000
農業支出","143,756 ","147,563 ","-3,807 ",,
,,2,,"5851150100
一般行政","142,836 ","146,513 ","-3,677 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費115,278千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費6,80
   5千元。
2.基本行政工作維持費25,138千元，較上年
   度增列辦理建築物耐震能力評估等經費2,
   707千元。
3.田間試驗及農藥檢驗經費420千元，較上
   年度增列辦理病蟲害田間藥效試驗等經費
   70千元。
4.新增建立特色作物生產鏈及有機、生物碳
   田間監測及運用推廣計畫經費2,000千元
   。
5.上年度辦理推動農業產業整體發展預算業
   已編峻，所列1,649千元如數減列。",
,,3,,"5851159000
一般建築及設備",820 ,950 ,-130 ,,
,,,1,"5851159011
交通及運輸設備",820 ,950 ,-130 ,"本年度預算數之內容與上年度之比較如下：
1.汰換小型客貨車1輛經費820千元。
2.上年度購置小貨車1輛預算業已編峻，所
   列950千元如數減列。",
,,4,,"5851159800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,16,,,"0051160000
臺南區農業改良場","249,937 ","250,694 ",-757 ,,
,,,,"5251160000
科學支出","99,145 ","98,283 ",862 ,,
,,1,,"5251161000
農作物改良","99,145 ","98,283 ",862 ,"本年度預算數之內容與上年度之比較如下：
1.作物改良研究經費39,338千元，較上年度
   增列辦理進口基因改造農糧產品產業應用
   追溯與出口邊境管理措施研究等經費6,55
   7千元。
2.作物環境研究經費26,022千元，較上年度
   減列辦理廣域無線感測技術應用於農業生
   產管理研究等經費610千元。
3.農業推廣研究經費4,254千元，較上年度
   減列辦理雲嘉南地區不同作物別之大佃農
   經營規模及效益研究等經費2,005千元。
4.分場農業試驗研究經費29,531千元，較上
   年度減列辦理設施蘆筍產期調節研究等經
   費3,080千元。",
,,,,"5851160000
農業支出","150,792 ","152,411 ","-1,619 ",,
,,2,,"5851160100
一般行政","150,692 ","151,886 ","-1,194 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費125,014千元，較上年度核實
   減列人事費2,081千元。
2.基本行政工作維持費24,203千元，較上年
   度增列辦理地上物拆遷等經費965千元。
3.農業經營輔導經費1,475千元，較上年度
   減列辦理輔導農業產銷團體企業化經營及
   推動地方產業發展等經費78千元。",
,,3,,"5851169000
一般建築及設備",0 ,425 ,-425 ,,
,,,1,"5851169011
交通及運輸設備",0 ,425 ,-425 ,"上年度購置小貨車1輛預算業已編竣，所列4
25千元如數減列。",
,,4,,"5851169800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,17,,,"0051170000
高雄區農業改良場","213,070 ","210,042 ","3,028 ",,
,,,,"5251170000
科學支出","82,176 ","82,277 ",-101 ,,
,,1,,"5251171000
農作物改良","82,176 ","82,277 ",-101 ,"本年度預算數之內容與上年度之比較如下：
1.農園作物經費46,958千元，較上年度增列
   辦理以果蠅系統驗證原料、配方之護腦緩
   老功效等經費8,770千元。
2.作物環境經費17,805千元，較上年度減列
   辦理高屏地區草生栽培果園營養診斷與肥
   培管理等經費101千元。
3.農業推廣經費2,379千元，較上年度減列
   辦理青年農民產品網路行銷平臺建置及效
   益評估等經費830千元。
4.旗南作物經費9,826千元，較上年度減列
   辦理優質小果南瓜與耐熱小胡瓜品種選育
   等經費3,132千元。
5.澎湖作物經費5,208千元，較上年度減列
   辦理抗風、耐鹽之作物栽培設施研發等經
   費4,808千元。",
,,,,"5851170000
農業支出","130,894 ","127,765 ","3,129 ",,
,,2,,"5851170100
一般行政","129,975 ","127,016 ","2,959 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費96,021千元，較上年度減列撥
   補勞工退休準備金專戶差額等經費124千
   元。
2.基本行政工作維持費31,512千元，較上年
   度增列辦理農業廢棄物資源化田間示範計
   畫等經費3,027千元。
3.農業經營輔導經費2,442千元，較上年度
   增列辦理農業產業整合計畫等經費56千元
   。",
,,3,,"5851179000
一般建築及設備",819 ,649 ,170 ,,
,,,1,"5851179011
交通及運輸設備",819 ,649 ,170 ,"本年度預算數之內容與上年度之比較如下：
1.汰換小客貨兩用車1輛經費819千元。
2.上年度汰換小客貨兩用車1輛預算業已編
   竣，所列649千元如數減列。",
,,4,,"5851179800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,18,,,"0051180000
花蓮區農業改良場","186,367 ","167,870 ","18,497 ",,
,,,,"5251180000
科學支出","70,187 ","72,100 ","-1,913 ",,
,,1,,"5251181000
農作物改良","70,187 ","72,100 ","-1,913 ","本年度預算數之內容與上年度之比較如下：
1.作物改良研究經費20,562千元，較上年度
   減列辦理花蓮地區水稻品種及栽培技術改
   良研究等經費511千元。
2.作物環境研究經費20,892千元，較上年度
   增列辦理原民作物保健產品加工技術開發
   研究等經費2,148千元。
3.農業推廣研究經費9,489千元，較上年度
   減列辦理提升農業人力、推廣及創新服務
   研究等經費3,012千元。
4.分場農業試驗研究經費19,244千元，較上
   年度減列辦理宜蘭地區蓮霧栽培技術改進
   研究等經費538千元。",
,,,,"5851180000
農業支出","116,180 ","95,770 ","20,410 ",,
,,2,,"5851180100
一般行政","114,630 ","95,670 ","18,960 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費79,235千元，較上年度增列撥
   補勞工退休準備金專戶差額等經費489千
   元。
2.基本行政工作維持費14,485千元，較上年
   度減列辦理原住民特用作物保種及繁殖網
   室整建等經費1,169千元。
3.農業經營輔導經費910千元，較上年度減
   列推動農業產業整體發展等經費360千元
   。
4.新增花東地區有機農業發展計畫經費20,0
   00千元。",
,,3,,"5851189000
一般建築及設備","1,450 ",-,"1,450 ",,
,,,1,"5851189011
交通及運輸設備","1,450 ",-,"1,450 ","新增汰換四輪傳動小型客貨車1輛經費如列
數。",
,,4,,"5851189800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,19,,,"0051190000
臺東區農業改良場","133,539 ","151,903 ","-18,364 ",,
,,,,"5251190000
科學支出","43,007 ","49,445 ","-6,438 ",,
,,1,,"5251191000
農作物改良","43,007 ","49,445 ","-6,438 ","本年度預算數之內容與上年度之比較如下：
1.作物改良研究經費22,592千元，較上年度
   減列辦理臺東地區特色作物加工技術之研
   究等經費573千元。
2.作物環境研究經費13,312千元，較上年度
   減列辦理臺東地區重要作物病蟲害整合性
   防疫技術之研發與應用等經費4,103千元
   。
3.農業推廣研究經費1,752千元，較上年度
   減列辦理番荔枝產業職能基準導向訓練課
   程建置研究等經費702千元。
4.果園管理研究經費5,351千元，較上年度
   減列研習番荔枝屬種原分類及多元化產品
   研發模式等經費1,060千元。",
,,,,"5851190000
農業支出","90,532 ","102,458 ","-11,926 ",,
,,2,,"5851190100
一般行政","90,432 ","101,428 ","-10,996 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費71,236千元，較上年度減列撥
   補勞工退休準備金專戶差額等經費4,811
   千元。
2.基本行政工作維持費14,196千元，較上年
   度增列建立特色作物生產鏈與有機、生物
   碳田間監測及運用推廣計畫等經費3,651
   千元。
3.花東地區有機農業發展計畫經費5,000千
   元，較上年度減列開發有機特色作物加工
   技術研究等經費9,836千元。",
,,3,,"5851199000
一般建築及設備",0 ,930 ,-930 ,,
,,,1,"5851199011
交通及運輸設備",0 ,930 ,-930 ,"上年度汰換小型客貨車1輛及公務機車2輛等
預算業已編竣，所列930千元如數減列。",
,,4,,"5851199800
第一預備金",100 ,100 ,0 ,仍照上年度預算數編列。,
,20,,,"0051200000
漁業署及所屬","4,053,384 ","5,083,959 ","-1,030,575 ",,
,,,,"5251200000
科學支出","179,065 ","181,142 ","-2,077 ",,
,,1,,"5251201200
漁業科技研究發展","179,065 ","181,142 ","-2,077 ","本年度預算數之內容與上年度之比較如下：
1.漁業生產及管理自動化經費1,918千元，
   較上年度減列辦理以船舶自動辨識系統或
   無線射頻辨識系統偵測漁船進出港動態最
   適性研究等經費2,532千元。
2.提升養殖漁業生產與管理技術研究經費42
   ,298千元，較上年度減列辦理鰻魚資源量
   復育研究等經費17,172千元。
3.加強海洋漁業資源合理利用及管理經費12
   3,346千元，較上年度增列辦理漁業產業
   技術研發應用與產業推動等經費19,504千
   元。
4.水產加工及品質安全檢測經費7,845千元
   ，較上年度減列辦理人工繁殖非保育類珊
   瑚應用產品開發等經費1,155千元。
5.漁業政策及制度研究經費1,858千元，較
   上年度減列辦理漁業產業政策發展及經營
   研究等經費722千元。
6.國際漁業科技合作經費1,800千元，與上
   年度同。",
,,,,"5851200000
農業支出","3,874,319 ","4,902,817 ","-1,028,498 ",,
,,2,,"5851200100
一般行政","344,695 ","351,007 ","-6,312 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費309,129千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費6,31
   2千元。
2.基本行政工作維持費35,566千元，與上年
   度同。",
,,3,,"5851202000
漁業管理","2,376,484 ","3,357,339 ","-980,855 ","本年度預算數之內容與上年度之比較如下：
1.企劃管理經費43,931千元，較上年度減列
   委託代管第一類漁港等經費8,276千元。
2.漁政管理經費85,112千元，較上年度增列
   辦理沿岸棲地淨化工作等經費3,094千元
   。
3.養殖漁業管理經費192,675千元，較上年
   度增列辦理漁民海上作業保險等經費1,34
   0千元。
4.遠洋漁業開發經費88,634千元，較上年度
   增列辦理公務船延壽等經費5,751千元。
5.休漁獎勵經費210,000千元，較上年度增
   列休漁獎勵金3,000千元。
6.漁業電臺管理經費20,163千元，較上年度
   減列臺北錄播音室整修等經費2,509千元
   。
7.漁業用油補貼經費1,357,954千元，較上
   年度核實減列1,154,547千元。
8.強化國際合作打擊非法漁業計畫總經費2,
   351,000千元，分5年辦理，105年度已編
   列206,723千元，本年度續編第2年經費37
   8,015千元，較上年度增列171,292千元。",
,,4,,"5851203000
漁業發展","1,152,000 ","1,191,874 ","-39,874 ","本年度預算數之內容與上年度之比較如下：
1.彰化漁港開發案近程(可開港營運)計畫總
   經費1,286,220千元，分年辦理，105年度
   已編列272,729千元，本年度續編第2年經
   費216,000千元，較上年度減列56,729千
   元。
2.時空資訊雲落實智慧國土計畫總經費192,
   000千元，分5年辦理，105年度已編列36,
   737千元，本年度續編第2年經費10,000千
   元，較上年度減列26,737千元。
3.新增漁業多元化經營建設計畫(第五期)經
   費926,000千元。
4.上年度辦理漁業多元化經營建設計畫(第
   四期)預算業已編竣，所列882,408千元如
   數減列。",
,,5,,"5851209000
一般建築及設備",0 ,"1,457 ","-1,457 ",,
,,,1,"5851209011
交通及運輸設備",0 ,"1,457 ","-1,457 ","上年度汰購小客貨兩用車、公務轎車及電動
機車各1輛預算業已編竣，所列1,457千元如
數減列。",
,,6,,"5851209800
第一預備金","1,140 ","1,140 ",0 ,仍照上年度預算數編列。,
,21,,,"0051500000
動植物防疫檢疫局及所屬","1,878,492 ","1,852,344 ","26,148 ",,
,,,,"5251500000
科學支出","283,433 ","242,552 ","40,881 ",,
,,1,,"5251503000
動植物防檢疫技術研發","283,433 ","242,552 ","40,881 ","本年度預算數之內容與上年度之比較如下：
1.防疫檢疫科技研發經費160,582千元，較
   上年度減列辦理重要檢疫有害生物自動化
   檢測技術之研發等經費5,714千元。
2.檢疫產業電子化自動化經費3,520千元，
   較上年度減列辦理建置高經濟價值作物關
   鍵病蟲害監測預警及管理資訊化體系等經
   費2,293千元。
3.整合與提升我國食媒性疾病及其病原監測
   防護網經費24,717千元，較上年度增列辦
   理養禽場腸道病原菌監測等經費9,364千
   元。
4.推動農業科技產業全球運籌經費37,275千
   元，較上年度增列辦理推動生物農藥科研
   成果商品化及產業化等經費4,161千元。
5.導入健康風險評估科技經費23,339千元，
   較上年度增列辦理動物用藥品風險評估等
   經費1,363千元。
6.新增全球衛生安全經費34,000千元。",
,,,,"5851500000
農業支出","1,595,059 ","1,609,792 ","-14,733 ",,
,,2,,"5851500100
一般行政","681,982 ","691,559 ","-9,577 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費575,111千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費4,54
   9千元。
2.基本行政工作維持費106,871千元，較上
   年度減列辦公室租金等經費5,028千元。",
,,3,,"5851501000
動植物防檢疫管理","910,757 ","915,894 ","-5,137 ","本年度預算數之內容與上年度之比較如下：
1.動物防疫業務經費204,235千元，較上年
   度減列執行人畜共通傳染病防疫業務等經
   費793千元。
2.動物檢疫業務經費18,700千元，較上年度
   減列執行國外動物產品管制系統及生產體
   系查核措施等經費103千元。
3.植物防疫業務經費67,644千元，較上年度
   減列辦理推動全國有害生物整合性防治、
   重大病蟲害共同防治及紅火蟻防治相關事
   項等經費18,149千元。
4.植物檢疫業務經費55,017千元，較上年度
   減列植物檢疫相關訓練等經費458千元。
5.企劃業務經費28,567千元，較上年度增列
   輸入犬貓及鳥類隔離留檢業務等經費419
   千元。
6.屠宰衛生檢查業務經費505,861千元，較
   上年度增列畜禽屠宰衛生檢查實施計畫等
   經費20,114千元。
7.動植物防檢疫經費30,733千元，較上年度
   減列購置檢疫處理相關設備等經費6,167
   千元。",
,,4,,"5851509000
一般建築及設備",820 ,839 ,-19 ,,
,,,1,"5851509011
交通及運輸設備",820 ,839 ,-19 ,"本年度預算數之內容與上年度之比較如下：
1.汰換小客貨兩用車1輛經費820千元。
2.上年度汰換小客貨兩用車及公務機車各1
   輛預算業已編竣，所列839千元如數減列
   。",
,,5,,"5851509800
第一預備金","1,500 ","1,500 ",0 ,仍照上年度預算數編列。,
,22,,,"0051600000
農業金融局","302,800 ","307,840 ","-5,040 ",,
,,,,"5251600000
科學支出",522 ,703 ,-181 ,,
,,1,,"5251601000
農業金融研發",522 ,703 ,-181 ,"本年度預算數522千元，係辦理農業金融體
系營運策略研究經費，較上年度減列農業金
融產業人力推估調查經費181千元。",
,,,,"5851600000
農業支出","302,278 ","307,137 ","-4,859 ",,
,,2,,"5851600100
一般行政","104,083 ","103,696 ",387 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費93,490千元，較上年度增列員
   工薪俸晉級差額等經費387千元。
2.基本行政工作維持費10,593千元，與上年
   度同。",
,,3,,"5851601000
農業金融業務","197,995 ","203,241 ","-5,246 ","本年度預算數之內容與上年度之比較如下：
1.農業金融教育及資訊經費15,367千元，較
   上年度減列監理資訊系統功能擴充等經費
   577千元。
2.農業金融機構管理經費9,149千元，較上
   年度增列補助農漁會信用部購置自動櫃員
   機與資訊營業設備等經費3,041千元。
3.農業融資及金融法令經費668千元，較上
   年度減列農貸帳務系統升級與擴充等經費
   7,710千元。
4.對財團法人農業信用保證基金捐助經費17
   2,811千元，與上年度同。",
,,4,,"5851609800
第一預備金",200 ,200 ,0 ,仍照上年度預算數編列。,
,23,,,"0051700000
農糧署及所屬","2,128,184 ","3,061,987 ","-933,803 ",,
,,,,"5251700000
科學支出","149,975 ","143,294 ","6,681 ",,
,,1,,"5251701000
農糧科技研發","149,975 ","143,294 ","6,681 ","本年度預算數之內容與上年度之比較如下：
1.農糧作物產銷技術研發經費111,536千元
   ，較上年度增列辦理智慧農業4.0業界參
   與計畫等經費40,611千元。
2.農產運銷電子化研發經費2,615千元，較
   上年度減列辦理推動農業雲端服務建置等
   經費38,664千元。
3.作物環境科技研發經費11,994千元，較上
   年度增列辦理生物性肥料肥(功)效評估及
   驗證等經費2,265千元。
4.農產加工科技研發經費15,417千元，較上
   年度增列運用大宗農產品發展銀髮族食材
   產業加值鏈等經費10千元。
5.強化農業科技產學研合作研發經費8,413
   千元，較上年度增列自走式秧苗箱自動卸
   取機研發等經費2,459千元。",
,,,,"5851700000
農業支出","1,978,209 ","2,918,693 ","-940,484 ",,
,,2,,"5851700100
一般行政","744,924 ","773,855 ","-28,931 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費713,551千元，較上年度減列
   撥補勞工退休準備金專戶差額等經費27,1
   94千元。
2.基本行政工作維持費31,373千元，較上年
   度減列一般事務費等1,737千元。",
,,3,,"5851701000
農糧管理","1,230,645 ","2,143,012 ","-912,367 ","本年度預算數之內容與上年度之比較如下：
1.企劃管理經費87,352千元，較上年度減列
   建置重要農業鄉鎮作物空間資訊計畫等經
   費43,298千元。
2.作物生產管理經費111,710千元，較上年
   度增列蘭花保種交易服務體系等經費29,2
   25千元。
3.農業資材管理經費332,491千元，較上年
   度增列辦理建構安全農產品產銷體系等經
   費31,855千元。
4.運銷加工管理經費406,035千元，較上年
   度增列大型農產品物流中心計畫等經費21
   5,454千元。
5.糧食產業管理經費26,699千元，較上年度
   減列臺灣地區農田坵塊及資料庫擴充計畫
   等經費11,016千元。
6.分署農糧管理經費34,458千元，較上年度
   減列增設北區分署辦公大樓電梯等經費3,
   303千元。
7.發展花卉產業與推動國際花卉博覽會計畫
   總經費3,086,000千元，分5年辦理，104
   至105年度已編列1,458,184千元，本年度
   續編第3年經費231,900千元，較上年度減
   列1,131,284千元。",
,,4,,"5851709000
一般建築及設備","1,640 ",826 ,814 ,,
,,,1,"5851709011
交通及運輸設備","1,640 ",826 ,814 ,"本年度預算數之內容與上年度之比較如下：
1.汰換小客貨兩用車2輛經費1,640千元。
2.上年度汰購小客貨兩用車及公務機車各1
   輛預算業已編竣，所列826千元如數減列
   。",
,,5,,"5851709800
第一預備金","1,000 ","1,000 ",0 ,仍照上年度預算數編列。,
20,,,,"0057000000
衛生福利部主管","210,365,617 ","198,667,127 ","11,698,490 ",,
,1,,,"0057010000
衛生福利部","166,076,655 ","158,045,311 ","8,031,344 ",,
,,,,"5157010000
教育支出","155,935 ","106,506 ","49,429 ",,
,,1,,"5157011100
公費生培育","155,935 ","106,506 ","49,429 ","本年度預算數之內容與上年度之比較如下：
1.醫學系公費生培育經費200千元，較上年
   度減列460千元。
2.重點科別培育公費醫師制度計畫總經費29
   0,000千元，分5年辦理，105年已編列11,
   600千元，本年度續編第2年經費47,050千
   元，較上年度增列35,450千元。
3.原住民族及離島地區養成公費生培育經費
   66,521千元，與上年度同。
4.偏鄉護理菁英計畫總經費136,483千元，
   分4年辦理，104至105年已編列37,267千
   元，本年度續編第3年經費42,164千元，
   較上年度增列14,439千元。",
,,,,"5257010000
科學支出","3,347,059 ","3,265,151 ","81,908 ",,
,,2,,"5257011700
科技業務","3,347,059 ","3,265,151 ","81,908 ",,
,,,1,"5257011710
科技發展工作","911,601 ","903,979 ","7,622 ","本年度預算數之內容與上年度之比較如下：
1.推動衛生福利科技發展與管理經費158,98
   3千元，較上年度增列辦理全民健康與幸
   福社會相關特殊或緊急事件研究等經費16
   ,049千元。
2.健康醫藥生技轉譯臨床推動計畫經費322,
   868千元，較上年度增列辦理生技醫藥轉
   譯創新發展計畫等經費64,339千元。
3.營造健康幸福社會及統計應用計畫經費62
   ,813千元，較上年度增列建立巨量資料應
   用環境及政策轉譯模式等經費23,449千元
   。
4.建構偏鄉資訊醫療照護網及健康照護發展
   計畫經費82,025千元，較上年度減列辦理
   推動數位健康照護管理計畫等經費8,118
   千元。
5.永續提供高品質健康醫療服務經費89,114
   千元，較上年度增列辦理整合醫療與產業
   研發能量，提升國產醫藥品使用率計畫等
   經費12,200千元。
6.數位資訊醫療之推動與整合經費80,825千
   元，較上年度減列辦理電子病歷雲端化計
   畫等經費38,502千元。
7.推動中醫藥科技發展計畫經費55,973千元
   ，較上年度增列促進中醫多元發展及擴增
   中醫醫療服務項目等經費1,772千元。
8.新增福利服務行動躍升計畫總經費408,88
   0千元，分4年辦理，本年度編列第1年經
   費59,000千元。
9.上年度推動國家型科技計畫預算業已編竣
   ，所列79,038千元如數減列。
10.上年度以醫療科技建構社會保險永續發
   展藍圖－建構社會保險體系計畫預算業已
   編竣，所列6,878千元如數減列。
11.上年度在地行動服務實施計畫預算業已
   編竣，所列36,651千元如數減列。",
,,,2,"5257011720
財團法人國家衛生研究院發展計畫","2,435,458 ","2,361,172 ","74,286 ","本年度預算數之內容與上年度之比較如下：
1.醫衛生命科技研究計畫經費1,555,575千
   元，較上年度減列辦理實證研究政策轉譯
   方法之研發等經費49,266千元。
2.符合PIC/S GMP生物製劑廠營運規模經費1
   07,442千元，與上年度同。
3.新穎標靶之創新藥物研究與開發經費115,
   563千元，較上年度增列辦理新穎標靶之
   鑑定、驗證與相關藥物開發等經費3,385
   千元。
4.銜接及建立國際準則於奈米生技醫藥經費
   6,000千元，較上年度減列辦理奈米粒子
   產生之生物效應研究等經費20,919千元。
5.物質成癮研究計畫經費18,046千元，較上
   年度減列辦理類鴉片成癮者5年療效追蹤
   研究等經費2,413千元。
6.研究醫藥衛生政策及預防保健制度經費12
   0,447千元，較上年度增列辦理特殊飲食
   習慣族群營養與健康效應流行病學研究等
   經費2,206千元。
7.醫藥衛生產品與技術之研發經費337,385
   千元，較上年度增列辦理智慧載具及巨量
   資料於健康管理之應用等經費139,464千
   元。
8.新增蚊媒傳染病防治研究聚落之合作體系
   經費175,000千元。
9.上年度臺灣環境毒物健康危害之監測、評
   估及對策研究預算業已編竣，所列173,17
   1千元如數減列。",
,,,,"6657010000
社會保險支出","149,148,490 ","143,603,837 ","5,544,653 ",,
,,3,,"6657012000
社會保險業務","149,148,490 ","143,603,837 ","5,544,653 ",,
,,,1,"6657012010
社會保險行政工作","36,415 ","40,100 ","-3,685 ","本年度預算數之內容與上年度之比較如下：
1.全民健康保險管理經費4,148千元，較上
   年度減列全民健康保險業務聯繫等經費24
   5千元。
2.全民健康保險醫療費用協定及監理經費5,
   000千元，較上年度減列辦理健保總額協
   定分配及給付範圍審議等經費56千元。
3.全民健康保險爭議審議作業經費13,441千
   元，較上年度減列資訊整合系統功能增修
   及硬體設備汰換等經費1,047千元。
4.長期照顧服務規劃經費6,067千元，較上
   年度減列辦理長期照顧保險規劃研討等經
   費1,062千元。
5.國民年金保險管理經費4,377千元，較上
   年度減列汰換國民年金所得未達一定標準
   比對及審核管理資訊系統主機等經費1,26
   6千元。
6.國民年金監理及審議經費3,382千元，較
   上年度減列辦理地方政府國民年金業務實
   地訪查等經費9千元。",
,,,2,"6657012020
社會保險補助","149,112,075 ","143,563,737 ","5,548,338 ","本年度預算數之內容與上年度之比較如下：
1.漁民、水利會會員及其他團體健保費補助
   經費25,697,724千元，較上年度減列1,29
   0,952千元。
2.直轄市健保欠費繳款專案補助經費2,423,
   563千元，較上年度增列1,545,851千元。
3.政府應負擔健保費法定下限經費56,200,0
   00千元，較上年度增列4,200,000千元。
4.65歲以上離島地區居民健保費補助經費18
   5,519千元，較上年度增列52,432千元。
5.公益彩券回饋金協助弱勢族群排除就醫障
   礙經費212,727千元，較上年度減列78,23
   8千元。
6.低收入戶健保費及醫療補助經費8,426,43
   1千元，較上年度減列484,672千元。
7.國民年金保險補助經費55,966,111千元，
   較上年度增列1,603,917千元。",
,,,,"6757010000
社會救助支出","1,343,864 ","1,526,274 ","-182,410 ",,
,,4,,"6757011000
社會救助業務","1,343,864 ","1,526,274 ","-182,410 ","本年度預算數之內容與上年度之比較如下：
1.督導辦理各項救助經費852,386千元，較
   上年度減列補助地方政府發放低收入戶生
   活及就學津貼等經費98,329千元。
2.低收入戶健保病患住院膳食費濟助經費54
   ,913千元，較上年度減列8,101千元。
3.辦理急難救助經費271,680千元，較上年
   度減列馬上關懷急難救助實施計畫等經費
   85,349千元。
4.小康計畫精神病患收治經費164,885千元
   ，較上年度增列低收入戶精神病患公費就
   養及醫療補助等經費9,369千元。",
,,,,"6857010000
福利服務支出","465,518 ","477,906 ","-12,388 ",,
,,5,,"6857011000
社工及社區發展業務","175,063 ","179,425 ","-4,362 ","本年度預算數之內容與上年度之比較如下：
1.規劃建立社會工作專業經費142,009千元
   ，較上年度減列辦理繼續教育課程積分審
   查等經費985千元。
2.建立衛生及社會福利志願服務制度經費12
   ,171千元，較上年度減列汰換志願服務資
   訊整合系統等經費2,713千元。
3.推展社區發展經費20,003千元，較上年度
   減列獎勵社區評鑑績優之社區發展協會等
   經費566千元。
4.公益勸募管理經費880千元，較上年度減
   列辦理稽核經許可之勸募活動團體募得款
   項使用情形等經費98千元。",
,,6,,"6857012000
保護服務業務","290,455 ","298,481 ","-8,026 ","本年度預算數之內容與上年度之比較如下：
1.推展性別暴力防治經費195,741千元，與
   上年度同。
2.推展兒少保護及處遇輔導經費94,714千元
   ，較上年度減列補助保護性社工人力計畫
   等經費8,026千元。",
,,,,"7157010000
醫療保健支出","11,615,789 ","9,065,637 ","2,550,152 ",,
,,7,,"7157010100
一般行政","867,728 ","882,603 ","-14,875 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費759,153千元，較上年度核實
   減列人事費8,816千元。
2.基本行政工作維持費108,575千元，較上
   年度減列水電費及辦公房舍整修等經費6,
   059千元。",
,,8,,"7157011000
醫政業務","1,176,263 ","1,586,848 ","-410,585 ","本年度預算數之內容與上年度之比較如下：
1.醫政法規與醫事人員及機構管理經費14,2
   78千元，較上年度減列醫療糾紛案件處理
   等經費1,881千元。
2.醫療業務督導管理經費17,686千元，較上
   年度增列辦理醫院及實地評鑑審查等經費
   10,488千元。
3.醫療替代役經費5,126千元，較上年度減
   列替代役專業訓練等經費905千元。
4.健全醫療衛生體系經費99,659千元，較上
   年度減列建構整合性社區健康照護網絡等
   經費9,176千元。
5.提升醫事機構服務品質經費73,670千元，
   較上年度減列辦理器官捐贈與移植等經費
   1,940千元。
6.醫事人力培育與訓練經費860,297千元，
   較上年度減列349,671千元，包括：
  (1)補助醫療發展基金辦理臨床醫事人員
     培訓計畫574,000千元，較上年度減列2
     76,000千元。
  (2)新增辦理第八期醫療網業務等經費286
     ,297千元。
  (3)上年度辦理開創全民均等健康照護計
     畫預算業已編竣，本科目所列359,968
     千元如數減列。
7.健全緊急醫療照護網絡經費105,547千元
   ，與上年度同。
8.上年度推動國際健康產業預算業已編竣，
   所列57,500千元如數減列。",
,,9,,"7157011100
心理及口腔健康業務","901,558 ","946,268 ","-44,710 ","本年度預算數之內容與上年度之比較如下：
1.心理健康行政管理經費15,748千元，較上
   年度減列辦理心理健康促進及特殊族群處
   遇等經費1,900千元。
2.加強口腔健康促進經費357,592千元，較
   上年度減列辦理兒童牙齒塗氟等經費41,2
   10千元。
3.新增辦理國民心理健康業務等經費528,21
   8千元。
4.上年度辦理國民心理健康促進計畫預算業
   已編竣，所列529,818千元如數減列。",
,,10,,"7157011200
護理及健康照護業務","3,941,373 ","808,679 ","3,132,694 ","本年度預算數之內容與上年度之比較如下：
1.護理行政經費842千元，較上年度減列國
   內出差旅費等160千元。
2.強化護理人力培育與提升專業知能經費37
   ,273千元，較上年度減列辦理護產領域執
   業範圍研習等經費6,962千元。
3.加強原住民族及離島地區醫療保健服務經
   費345,984千元，較上年度增列辦理偏遠
   及離島地區急重症傷病患轉診後送服務等
   經費21,140千元。
4.推動身心障礙醫療復健網絡經費19,274千
   元，較上年度減列辦理新制身心障礙鑑定
   及人員培訓計畫等經費948千元。
5.新增辦理長照十年計畫2.0經費3,538,000
   千元。
6.上年度辦理長照服務量能提升計畫預算業
   已編竣，所列418,376千元如數減列。",
,,11,,"7157011500
中醫藥業務","54,660 ","41,897 ","12,763 ","本年度預算數之內容與上年度之比較如下：
1.中醫規劃及管理經費21,418千元，較上年
   度增列建置民俗調理業從業人員證照制度
   等經費11,637千元。
2.中藥藥事規劃及中醫藥政策發展經費6,48
   7千元，較上年度增列辦理臺灣中藥典編
   修及編印等經費32千元。
3.中藥藥證規劃及管理經費4,611千元，較
   上年度增列委託辦理查驗登記技術性資料
   審查等經費1,319千元。
4.中藥品質與產業提升經費22,144千元，較
   上年度減列中藥用藥安全相關資訊系統功
   能增修等經費225千元。",
