,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,03,"　　　58151500203
　　　生態保育管理","22,864","21,782","1,082","本年度預算數較上年度增列1,082千元，包括：
1.新增公私有林經營輔導計畫等4件計畫4,071千元。
2.樹木健康(疫病及外來入侵種防除)計畫1,550千元，較上年度增列特定紀念樹木外科手術等經費750千元。
3.其他業務運作經費12,453千元，較上年度增列臨時人員工資、租用車輛及講習會場租金等經費587千元。
4.樹木保護(珍貴老樹保護)計畫400千元，較上年度減列老樹生長環境改善、養護工作等經費240千元。
5.推動野生動植物合理利用之管理計畫1,890千元，較上年度減列約僱人員薪資等經費715千元。
6.強化植物有害生物防範措施計畫2,500千元，較上年度減列補助農會、合作社辦理作物病蟲害整合性防治等經費2,000千元。
7.上年度褐根病防治計畫等2件計畫預算業已編竣，所列1,371千元如數減列。
　"
,,,04,"　　　58151500204
　　　畜產推廣","6,383","5,789",594,"本年度預算數較上年度增列594千元，包括：
1.新增畜禽產品溯源安全管理計畫100千元。
2.加強畜牧場節能及沼氣利用計畫1,195千元，較上年度增列補助畜牧場風扇系統及廢水循環再利用等相關設施經費795千元。
3.其他業務運作經費5,088千元，較上年度增列補助畜牧場設置飲用節水系統經費586千元。
4.上年度家畜產業永續經營計畫與改善畜牧排放水質及污染防治計畫預算業已編竣，所列364千元如數減列。
5.上年度加強輔導雞糞再利用計畫預算業已編竣，所列523千元如數減列。
　"
,,,05,"　　　58151500205
　　　農會及合作事業輔導","6,019","6,061",-42,"本年度預算數較上年度減列42千元，包括：
1.其他業務運作經費5,589千元，較上年度增列補助各區公所農地現勘費用等經費56千元。
2.健全農會組織制度及提升農會服務功能計畫430千元，較上年度減列國內旅費及辦理活動佈置等經費98千元。
　"
　,　,　,　,　,　,　,　,　
,,,06,"　　　58151500206
　　　農產運銷","592,378","302,524","289,854","本年度預算數較上年度增列289,854千元，包括：
1.批發市場管理398,897千元，較上年度增列高雄果菜市場擴建工程與補助市場軟硬體設備及屠窄線增設費用等經費296,000千元。
2.一般業務192,993千元，較上年度減列補助「高雄市農業發展基金」等經費5,662千元。
3.有機農糧產品及加工品檢查及檢驗488千元，較上年度減列僱用臨時人員等經費484千元。
　"
,,03,,"　　58151507900
　　第一預備金",320,320,-,
,,,01,"　　　58151507901
　　　第一預備金",320,320,-,"仍照上年度預算數編列。
　"
,,04,,"　　66151500200
　　社會保險","109,412","103,936","5,476",
,,,01,"　　　66151500201
　　　社會保險","109,412","103,936","5,476","本年度預算數109,412千元，較上年度增列全民健康保險費積欠款5,476千元。
　"
,,05,,"　　68151500600
　　福利服務","1,247,304","1,276,800","-29,496",
,,,01,"　　　68151500611
　　　農民福利服務","1,247,304","1,276,800","-29,496","本年度預算數1,247,304千元，較上年度減列老年農民福利津貼經費29,496千元。
　"
,002,,,"　00151510000
　高雄市動物保護處","119,136","153,668","-34,532",
,,01,,"　　58151510100
　　一般行政","58,146","58,814",-668,
,,,01,"　　　58151510101
　　　行政管理","58,146","58,814",-668,"本年度預算數之內容與上年度之比較如下：
1.人員維持費52,471千元與上年度同。
2.基本行政維持工作費5,675千元，較上年度減列汰換冷氣設備及退休人員三節慰問金等經費668千元。
　"
,,02,,"　　58151510300
　　動物保護與防疫","60,990","94,854","-33,864",
,,,01,"　　　58151510301
　　　動物疾病檢驗",685,878,-193,"本年度預算數較上年度減列193千元，包括：
1.動物疾病檢驗510千元，較上年度減列汰換顯微鏡、核酸複製儀等經費118千元。
2.水產動物疾病防治計畫175千元，較上年度減列臨時人員薪資等經費75千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　58151510302
　　　獸醫行政管理",460,390,70,"本年度預算數460千元，較上年度新增辦理寵物食品安全講習等相關經費70千元。
　"
,,,03,"　　　58151510303
　　　動物防疫","10,172","23,298","-13,126","本年度預算數較上年度減列13,126千元，包括：
1.豬瘟及口蹄疫撲滅計畫5,155千元，較上年度增列診斷用醫療用品及防疫材料等經費3,912千元。
2.強化畜禽動物疾病防治計畫321千元，較上年度減列資訊系統維護費及購置防疫材料等經費239千元。
3.豬隻口蹄疫防疫階段策略之強化工作計畫2,000千元，較上年度減列購置防護衣組、雨鞋等防疫資材經費461千元。
4.人畜共通隻動物傳染病防治計畫2,183千元，較上年度減列購買試劑、藥品等經費1,109千元。
5.上年度辦理高病原性禽流感撲殺補償及防疫處置計畫預算業已編竣，所列15,229千元如數減列。
　"
,,,04,"　　　58151510304
　　　動物保護","14,056","13,249",807,"本年度預算數較上年度增列807千元，包括：
1.新增強化動物福利管理計畫200千元。
2.動物保護8,203千元，較上年度增列辦理寵物登記費用及犬貓絕育補助等經費1,792千元。
3.提升動物保護行政效能計畫5,100千元，較上年度減列補助動保團體及獸醫師絕育推廣、寵物登記獎勵費用等經費1,103千元。
4.寵物及野生動物疾病防治計畫218千元，較上年度減列加班費及辦理計畫所需物品等相關經費82千元。
　"
,,,05,"　　　58151510305
　　　動物收容管理","35,617","57,039","-21,422","本年度預算數較上年度減列21,422千元，包括：
1.動物收容管理16,576千元，較上年度增列購買動物收容相關耗材、飼料、急難醫療及收容處所改建工程等經費7,221千元。
2.流浪犬管制計畫14,664千元，較上年度增列動物保護關愛園區水電等經費468千元。
3.改善政府動物管制收容設施相關計畫4,377千元，較上年度減列燕巢動保園區工程等經費29,111千元。
　"
16,,,,"00160000000
高雄市政府勞工局主管","4,790,165","675,035","4,115,130",
,001,,,"　00161600000
　高雄市政府勞工局","4,541,258","436,650","4,104,608",
,,01,,"　　66161600200
　　社會保險","4,336,831","228,802","4,108,029",
,,,01,"　　　66161600201
　　　社會保險","4,336,831","228,802","4,108,029","本年度預算數較上年度增列4,108,029千元，包括：
1.全民健康保險補助2,402,942千元，較上年度增列2,253,764千元。
2.勞工保險補助1,933,889千元，較上年度增列1,854,265千元。
　"
,,02,,"　　68161600100
　　一般行政","106,082","103,059","3,023",
,,,01,"　　　68161600101
　　　行政管理","91,694","91,838",-144,"本年度預算數之內容與上年度之比較如下：
1.人員維持費89,903千元，與上年度同。
2.基本行政工作維持費1,791千元，較上年度減列退休人員三節慰問金144千元。
　"
,,,02,"　　　68161600102
　　　業務管理","14,388","11,221","3,167","本年度預算數14,388千元，較上年度增列行政大樓修繕及內部設施及資訊軟硬體設備費等經費3,167千元。
　"
,,03,,"　　68161600800
　　勞工行政","16,078","19,262","-3,184",
,,,01,"　　　68161600801
　　　勞工行政業務綜合規
　　　劃",298,462,-164,"本年度預算數298千元，較上年度減列辦理勞政主管策勵營及出國考察旅費等經費164千元。
　"
,,,02,"　　　68161600802
　　　提升就業暨保障勞動
　　　權益","15,780","18,800","-3,020","本年度預算數15,780千元，較上年度減列專業工作人員教育訓練研習營及補助移居本市大專以上專業工作人員工作補助費等經費3,020千元。
　"
,,04,,"　　68161600900
　　勞工組織","28,797","28,865",-68,
,,,01,"　　　68161600901
　　　工會輔導、勞工組訓","28,797","28,865",-68,"本年度預算數28,797千元，較上年度減列辦理本市勞工教育輔導及本市高中職勞動知能教育教材編印、師資培訓等經費68千元。
　"
,,05,,"　　68161601000
　　勞工福利暨身心障礙者
　　就業","26,619","30,131","-3,512",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　68161601001
　　　勞工福利、身心障礙
　　　者促進就業","26,619","30,131","-3,512","本年度預算數較上年度減列3,512千元，包括： 
1.勞工福利25,729千元，較上年度減列勞工職災慰問金等經費3,107千元。
2.身心障礙促進就業890千元，較上年度減列歷年度身心障礙者創業貸款貼補利息、逾放本金、利息、違約金等經費405千元。
　"
,,06,,"　　68161601100
　　勞動條件","20,387","19,602",785,
,,,01,"　　　68161601101
　　　勞動條件之督導考核","20,387","19,602",785,"本年度預算數20,387千元，較上年度增列補助本市各事業單位辦理托兒設施、措施及購置公務機車等經費785千元。
　"
,,07,,"　　68161601200
　　勞資關係","4,851","5,257",-406,
,,,01,"　　　68161601201
　　　促進勞資和諧","4,851","5,257",-406,"本年度預算數4,851千元，較上年度減列勞資爭議調解案出席費等經費406千元。
　"
,,08,,"　　68161601300
　　促進國民就業服務","1,313","1,372",-59,
,,,01,"　　　68161601301
　　　促進就業輔導、保障
　　　就業權益","1,313","1,372",-59,"本年度預算數1,313千元，較上年度減列一般事務費及補助市民參加職業訓練之臨時托兒、托老津貼等經費59千元。
　"
,,09,,"　　68161607900
　　第一預備金",300,300,-,
,,,01,"　　　68161607901
　　　第一預備金",300,300,-,"仍照上年度預算數編列。
　"
,002,,,"　00161610000
　高雄市政府勞工局勞動檢
　查處","95,431","95,499",-68,
,,01,,"　　68161610100
　　一般行政","86,755","86,572",183,
,,,01,"　　　68161610101
　　　行政管理","82,986","83,088",-102,"本年度預算數之內容與上年度之比較如下：
1.人員維持費80,789千元，與上年度同。
2.基本行政工作維持費2,197千元，較上年度減列退休人員三節慰問金102千元。
　"
,,,02,"　　　68161610102
　　　業務管理","3,769","3,484",285,"本年度預算數3,769千元，較上年度增列改善辦公處所LED照明設備工程及資訊軟硬體設備費等經費285千元。
　"
,,02,,"　　68161611400
　　勞動檢查","8,676","8,927",-251,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　68161611401
　　　勞動條件及勞工安全
　　　衛生檢查","2,756","3,000",-244,"本年度預算數2,756千元，較上年度減列赴德國考察管線維護國外旅費等經費244千元。
　"
,,,02,"　　　68161611402
　　　營造業及危險行業安
　　　全衛生檢查","1,467","1,405",62,"本年度預算數1,467千元，較上年度增列赴日本考察營造工地之安全衛生治理以落實降災及健全安衛自主管理國外旅費等經費62千元。
　"
,,,03,"　　　68161611403
　　　特殊危害工作環境檢
　　　查","1,593","1,607",-14,"本年度預算數1,593千元，較上年度減列購買有關工業衛生職業病防治等書籍及其他零星用品等經費14千元。
　"
,,,04,"　　　68161611404
　　　特定危險性機械或設
　　　備檢查","1,433","1,463",-30,"本年度預算數1,433千元，較上年度減列印製危險性機械檢查合格證書及各種檢查表報資料等經費30千元。
　"
,,,05,"　　　68161611405
　　　職災預防規劃","1,427","1,452",-25,"本年度預算數1,427千元，較上年度減列製作獎牌表揚推行職業安全衛生優良單位及人員費用等經費25千元。
　"
,003,,,"　00161620000
　高雄市政府勞工局勞工教
　育生活中心","60,162","47,321","12,841",
,,01,,"　　68161620100
　　一般行政","55,531","42,690","12,841",
,,,01,"　　　68161620101
　　　行政管理","31,511","25,642","5,869","本年度預算數之內容與上年度之比較如下：
1.人員維持費25,405千元，與上年度同。
2.基本行政工作維持費6,106千元，較上年度增列澄清會館ROT案整建興建期履約管理費用、冷氣空調主機遷移及安裝、廳舍清潔費用、獅甲會館更新廢水及熱水管路及資訊軟硬體設備費等經費5,869千元。
　"
,,,02,"　　　68161620102
　　　業務管理","24,020","17,048","6,972","本年度預算數24,020千元，較上年度增列勞工博物館營運提升及德國博物館參訪交流計畫等經費6,972千元。
　"
,,02,,"　　68161621500
　　各項活動","4,631","4,631",-,
,,,01,"　　　68161621501
　　　推展勞工教育服務","2,346","2,346",-,"本年度預算數2,346千元，係辦理勞工教育諮詢服務及休閒等各項服務經費，與上年度同。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　68161621502
　　　推展勞工技藝研習活
　　　動","2,285","2,285",-,"本年度預算數2,285千元，係辦理增進勞工各項技藝研習等各項經費，與上年度同。
　"
,004,,,"　00161630000
　高雄市政府勞工局訓練就
　業中心","68,388","71,632","-3,244",
,,01,,"　　69161630100
　　一般行政","52,834","54,027","-1,193",
,,,01,"　　　69161630101
　　　行政管理","47,180","48,042",-862,"本年度預算數之內容與上年度之比較如下：
1.人員維持費46,590千元，較上年度核實減列人事費706千元。
2.基本行政工作維持費590千元，較上年度減列退休人員三節慰問金156千元。
　"
,,,02,"　　　69161630102
　　　業務管理","5,654","5,985",-331,"本年度預算數5,654千元，較上年度減列水電費及安全維護使用即時數位監控系統設備等經費331千元。
　"
,,02,,"　　69161630300
　　職業訓練","11,022","12,492","-1,470",
,,,01,"　　　69161630301
　　　訓練業務","10,714","12,184","-1,470","本年度預算數10,714千元，較上年度減列辦理職訓場域米食訓練檢定場地增設計畫設備等經費1,470千元。
　"
,,,02,"　　　69161630302
　　　學員輔導與職訓",308,308,-,"本年度預算數308千元，係辦理輔導業務與技能檢定及委外職訓經費，與上年度同。
　"
,,03,,"　　69161630400
　　國民就業輔導","4,532","5,113",-581,
,,,01,"　　　69161630401
　　　就業輔導","4,532","5,113",-581,"本年度預算數4,532千元，較上年度減列毒品個案行動就業服務設備等經費581千元。
　"
,005,,,"　00161640000
　高雄市政府勞工局博愛職
　業技能訓練中心","24,926","23,933",993,
,,01,,"　　69161640100
　　一般行政","17,671","15,517","2,154",
,,,01,"　　　69161640101
　　　行政管理","17,671","15,517","2,154","本年度預算數之內容與上年度之比較如下：
1.人員維持費13,014千元，較上年度核實增列人事費6千元。
2.基本行政工作維持費4,657千元，較上年度增列中心防漏修繕工程等經費2,148千元。
　"
　,　,　,　,　,　,　,　,　
,,02,,"　　69161640500
　　身心障礙職業訓練與重
　　建","7,255","8,416","-1,161",
,,,01,"　　　69161640501
　　　訓練與輔導","7,255","8,416","-1,161","本年度預算數7,255千元，較上年度減列出國參賽旅費、身障職業重建服務整合系統及工具軟體等經費1,161千元。
　"
17,,,,"00170000000
高雄市政府捷運工程局主管","3,698,824","1,540,345","2,158,479",
,001,,,"　00171700000
　高雄市政府捷運工程局","3,698,824","1,540,345","2,158,479",
,,01,,"　　60171700100
　　一般行政",-,"35,025","-35,025",
,,,01,"　　　60171700101
　　　行政管理",-,"35,025","-35,025","本年度預算數較上年度減列35,025千元，包括：
1.上年度衛武營文化中心捷運連通道工程地方配合款，預算業已編竣，所列25,000千元如數減列。
2.上年度補助高雄市境內大專院校、國私立高中職一卡通數位學生證計畫，預算業已編竣，所列5,025千元如數減列。
3.上年度交通部補助補辦預算辦理高雄環狀輕軌捷運交通安全宣導計畫，預算業已編竣，所列5,000千元如數減列。
　"
,,02,,"　　60171708100
　　非營業特種基金","3,560,397","1,344,647","2,215,750",
,,,01,"　　　60171708101
　　　捷運建設基金","2,590,640","756,092","1,834,548","本年度預算數較上年度增列1,834,548千元，包括：
1.新增岡山路竹延伸線（第一階段）建設計畫36,000千元。
2.新增長期路網規劃6,340千元。
3.紅橘線路網建設計畫1,728,300千元，較上年度增列1,597,067千元。
4.環狀輕軌捷運建設計畫820,000千元，較上年度增列195,141千元。
　"
,,,02,"　　　60171708102
　　　大眾捷運系統土地開
　　　發基金","969,757","588,555","381,202","本年度預算數969,757千元，較上年度增列市有土地作價投資大眾捷運系統土地開發基金381,202千元。
　"
,,03,,"　　79171700200
　　債務付息","138,427","160,673","-22,246",
,,,01,"　　　79171700202
　　　債務付息","138,427","160,673","-22,246","本年度預算數138,427千元，係撥付捷運建設基金債務利息，較上年度減列22,246千元。
　"
18,,,,"00180000000
高雄市政府消防局主管","2,099,965","2,105,276","-5,311",
　,　,　,　,　,　,　,　,　
,001,,,"　00181800000
　高雄市政府消防局","2,099,965","2,105,276","-5,311",
,,01,,"　　33181800100
　　一般行政","1,982,928","1,970,040","12,888",
,,,01,"　　　33181800101
　　　行政管理","1,804,575","1,803,942",633,"本年度預算數之內容與上年度之比較如下：
1.人員維持費1,792,209千元與上年度同。
2.基本行政工作維持費12,366千元，較上年度增列消防人員健康檢查等經費633千元。
　"
,,,02,"　　　33181800102
　　　業務管理","178,353","166,098","12,255","本年度預算數較上年度增列12,255千元，包括：
1.新增消防分隊耐震補強及大樹分隊新建工程經費22,326千元。
2.新增月光山站臺太陽能供電系統及手持式衛星電話經費630千元。
3.辦理119資通訊系統汰換案經費40,646千元，較上年度增列30,646千元。
4.其他業務運作維持等經費75,972千元，較上年度增列消防人員制服等經費2,650千元。
5.其他設備及投資經費38,779千元，較上年度減列資訊設備等經費648千元。
6.上年度辦理第四大隊暨仁武分隊新建工程及辦公設備預算業已編竣，所列43,349千元如數減列。
　"
,,02,,"　　33181802100
　　消防業務","116,719","134,918","-18,199",
,,,01,"　　　33181802101
　　　火災預防業務","1,879","1,912",-33,"本年度預算數較上年度減列33千元，包括：
1.新增購置製煙機及耗材等經費130千元。
2.補助設置住宅用火災警報器經費570千元，較上年度減列163千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　33181802102
　　　災害搶救業務","53,592","68,941","-15,349","本年度預算數較上年度減列15,349千元，包括：
1.新增購置全球定位系統GPS及南科補助購置消防設施裝備等經費2,100千元。
2.辦理精進消防救災裝備器材等經費19,714千元，較上年度增列12,144千元。
3.辦理民力評鑑績優補助裝備器材及義消保險費等經費6,254千元，較上年度減列1,100千元。
4.上年度補助充實民間救難團體、山地鄉部落居民基本救助(護)訓練等計畫及義消制服、婦宣隊冬服、操作服購置預算業已編竣，所列28,493千元如數減列。
　"
,,,03,"　　　33181802103
　　　教育訓練業務","2,482","2,482",-,"本年度預算數2,482千元，係辦理教育訓練業務經費，與上年度同。
　"
,,,04,"　　　33181802104
　　　火災調查業務",486,486,-,"本年度預算數486千元，係辦理火災調查業務經費，與上年度同。
　"
,,,05,"　　　33181802105
　　　救災救護指揮業務","9,773","10,025",-252,"本年度預算數較上年度減列252千元，包括：
1.指揮派遣系統網路設備維護等經費1,738千元，較上年度增列279千元。
2.其他業務運作維持等經費4,648千元，較上年度減列無線電養護等經費197千元。
3.上年度辦理119電話軟硬體設備因應4G語音升級更新預算業已編竣，所列334千元如數減列。
　"
,,,06,"　　　33181802106
　　　災害管理業務","34,102","36,743","-2,641","本年度預算數較上年度減列2,641千元，包括：
1.災害管理本年度預算數14,324千元，係辦理災害管理業務經費，與上年度同。
2.災害防救經費19,778千元，較上年度減列約聘僱人員計畫等經費2,641千元。
　"
,,,07,"　　　33181802107
　　　緊急救護業務","10,569","10,570",-1,"本年度預算數10,569千元，較上年度減列防疫物資等經費1千元。
　"
,,,08,"　　　33181802108
　　　危險物品管理業務",563,623,-60,"本年度預算數563千元，較上年度減列補助防範一氧化碳中毒執行計畫經費60千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,09,"　　　33181802109
　　　大隊救災救護業務","3,273","3,136",137,"本年度預算數較上年度增列137千元，包括：
1.新增第三大隊化學災害處理耗材等經費57千元。
2.辦理赴日本進行搜救犬馴養技術交流旅費160千元，較上年度增列80千元。
　"
,,03,,"　　33181807900
　　第一預備金",318,318,-,
,,,01,"　　　33181807901
　　　第一預備金",318,318,-,"仍照上年度預算數編列。
　"
19,,,,"00190000000
高雄市政府文化局主管","1,533,989","1,431,473","102,516",
,001,,,"　00191900000
　高雄市政府文化局","857,793","674,414","183,379",
,,01,,"　　53191900100
　　一般行政","202,852","205,336","-2,484",
,,,01,"　　　53191900101
　　　行政管理","202,852","205,336","-2,484","本年度預算數之內容與上年度之比較如下：
1.人員維持費177,987千元，較上年度核實減列人事費771千元。
2.基本行政工作維持費24,865千元，較上年度減列首長座車及三節慰問金等經費513千元。
3.上年度辦理垃圾壓縮機購置，預算業已編竣，所列1,200千元如數減列。
　"
,,02,,"　　53191901100
　　文化建設與活動","654,441","468,578","185,863",
,,,01,"　　　53191901101
　　　文化政策與環境推展","287,462","133,246","154,216","本年度預算數較上年度增列154,216千元，包括：
1.新增補助高雄市專業文化機構157,658千元。
2.辦理其他文化政策與環境推展129,804千元，較上年度減列編印藝文刊物及文藝獎等經費3,442千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　53191901102
　　　文化資產維護與營運","137,670","112,696","24,974","本年度預算數較上年度增列24,974千元，包括：
1.新增博物館與地方文化館發展計畫3,910千元。
2.文化資產維護與營運及保存再生相關計畫113,490千元，較上年度增列保存維護計畫等經費16,839千元。
3.社區營造業務20,270千元，較上年度增列推動社區營造三期及村落文化發展計畫18,830千元。
4.上年度辦理村落文化發展計畫，預算業已編竣，所列4,240千元如數減列。
5.上年度辦理客家文化生活環境營造計畫，預算業已編竣，所列1,090千元如數減列。
6.上年度辦理文化資產保存活化再利用及區域環境整合計畫，預算業已編竣，所列8,775千元如數減列。
7.上年度辦理興辦基礎工業補助計畫，預算業已編竣，所列500千元如數減列。
　"
,,,03,"　　　53191901103
　　　表演藝術推動","39,385","36,505","2,880","本年度預算數較上年度增列2,880千元，包括：
1.表演藝術展演與推廣25,029千元，較上年度增列辦理國內外表演藝術交流等經費2,880千元。
2.活化文化中心劇場營運計畫2,100千元，較上年度增列高雄市專業劇場藝文扎根計畫100千元。
3.傑出演藝團隊徵選及獎勵計畫1,500千元，較上年度減列縣市傑出演藝團隊徵選及獎勵計畫100千元。
　"
,,,04,"　　　53191901104
　　　文創產業與視覺藝術
　　　推展","16,771","18,941","-2,170","本年度預算數較上年度減列2,170千元，包括：
1.文化創意產業發展計畫1,750千元，較上年度增列文創聚落推動計畫150千元。
2.文創產業與視覺藝術推展15,021千元，較上年度減列小林平埔族群文物館維運等經費320千元。
3.上年度辦理提供空間予藝術家進駐計畫，預算業已編竣，所列2,000千元如數減列。
　"
,,,05,"　　　53191901105
　　　影視產業推動業務","20,892","20,780",112,"本年度預算數20,892千元，較上年度增列購置軌道台車等經費112千元。
　"
,,,06,"　　　53191901106
　　　駁二營運中心業務","76,480","80,338","-3,858","本年度預算數76,480千元，較上年度減列地方文化館第二期計畫3,858千元。
　"
,,,07,"　　　53191901107
　　　岡山文化中心業務","26,818","26,863",-45,"本年度預算數較上年度減列45千元，包括：
1.人員維持費10,702千元，較上年度減列約僱人員1人之人事費495千元。
2.辦理岡山文化中心業務16,116千元，較上年度增列演藝廳加裝升降式電動電纜450千元。
　"
,,,08,"　　　53191901108
　　　文化中心業務","48,963","39,209","9,754","本年度預算數較上年度增列9,754千元，包括：
1.藝文推廣業務5,351千元，較上年度增列國外旅費及購置舞台監視攝像機等經費600千元。
2.劇場管理業務18,253千元，較上年度增列演藝廳後臺服務人力委外及汰換演藝廳設備等經費6,832千元。
3.場地管理業務14,191千元，較上年度增列大東文化藝術中心與音樂館水電費及機電設備維護1,400千元。
4.駐衛警業務8,765千元，較上年度增列文化中心、大東文化藝術中心及音樂館委外保全等經費1,002千元。
5.展覽業務2,403千元，較上年度減列至高館麥克風擴音設備80千元。
　"
,,03,,"　　53191907900
　　第一預備金",500,500,-,
,,,01,"　　　53191907901
　　　第一預備金",500,500,-,"仍照上年度預算數編列。
　"
,002,,,"　00191910000
　高雄市立美術館","189,676","185,452","4,224",
,,01,,"　　53191910100
　　一般行政","114,757","125,983","-11,226",
,,,01,"　　　53191910101
　　　行政管理","114,757","125,983","-11,226","本年度預算數之內容與上年度之比較如下：
1.人員維持費57,569千元，較上年度核實減列人事費898千元。
2.基本行政工作維持費57,188千元，較上年度減列學產地土地租金及保全人員等經費10,328千元。
　"
,,02,,"　　53191910500
　　活動與管理","74,919","59,469","15,450",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　53191910501
　　　業務管理","74,919","59,469","15,450","本年度預算數較上年度增列15,450千元，包括：
1.展覽企劃業務19,515千元，較上年度增列南島當代藝術計畫經費3,000千元。
2.典藏規劃與管理業務22,468千元，較上年度增列典藏品購置費13,000千元。
3.推廣業務15,087千元，較上年度增列國外旅費200千元。
4.研究美術業務3,724千元，較上年度減列南島當代藝術雙年展補助款及國外旅費等經費1,900千元。
5.博物館及地方文化館業務4,850千元，較上年度增列經典與扎根計畫等經費2,050千元。  
6.視覺藝術補助計畫1,200千元，較上年度減列展覽計畫等經費900千元。
　"
,003,,,"　00191920000
　高雄市立圖書館","486,520","425,129","61,391",
,,01,,"　　53191920100
　　一般行政","165,626","168,594","-2,968",
,,,01,"　　　53191920101
　　　行政管理","165,626","168,594","-2,968","本年度預算數之內容與上年度之比較如下：
1.人員維持費139,368千元，較上年度核實減列人事費1,357千元。
2.基本行政工作維持費26,258千元，較上年度減列業務助理及三節慰問金等經費1,611千元。
　"
,,02,,"　　53191921200
　　圖書管理","320,894","256,535","64,359",
,,,01,"　　　53191921201
　　　開放閱覽","294,690","231,759","62,931","本年度預算數較上年度增列62,931千元，包括：
1.館舍營運暨閱覽服務192,413千元，較上年度增列總館及各分館網路介接資訊教育中心維運等經費2,394千元。
2.總館及各分館71,917千元，較上年度增列高雄市仁武區前埔厝段44-2地號廢棄物移除工程及湖內分館無障礙設施等經費37,698千元。
3.公共圖書館活力再造(館舍營運)及資源整合計畫10,360千元，較上年度增列館藏充實及書香卓越典範補助專案計畫等經費4,839千元。
4.分館新建工程20,000千元，較上年度增列旗山分館新建工程18,000千元。
　"
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,02,"　　　53191921202
　　　各項活動","26,204","24,776","1,428","本年度預算數較上年度增列1,428千元，包括：
1.新增公共圖書館活力再造(活動推廣)計畫1,448千元。
2.上年度辦理公共圖書館資源整合發展補助專案計畫，預算業已編竣，所列20千元如數減列。
　"
,004,,,"　00191930000
　高雄市立歷史博物館",-,"79,416","-79,416",
,,01,,"　　53191930100
　　一般行政",-,"36,253","-36,253",
,,,01,"　　　53191930101
　　　行政管理",-,"36,253","-36,253","依高雄市專業文化機構設置自治條例，自106年度起改制行政法人。
　"
,,02,,"　　53191930500
　　活動與管理",-,"43,163","-43,163",
,,,01,"　　　53191930501
　　　業務管理",-,"43,163","-43,163",
,005,,,"　00191940000
　高雄市電影館",-,"67,062","-67,062",
,,01,,"　　53191940100
　　一般行政",-,"13,475","-13,475",
,,,01,"　　　53191940101
　　　行政管理",-,"13,475","-13,475","依高雄市專業文化機構設置自治條例，自106年度起改制行政法人。
　"
,,02,,"　　53191940500
　　活動與管理",-,"53,587","-53,587",
,,,01,"　　　53191940501
　　　業務管理",-,"53,587","-53,587",
20,,,,"00200000000
高雄市政府交通局主管","2,572,545","1,943,752","628,793",
,001,,,"　00202000000
　高雄市政府交通局","2,562,229","1,933,438","628,791",
